year,state,county,fips,poptotal,pop16o,popu18,pop25o,pop324,pop60o,popnc,popnc18o,pophh,popinst,popogq,popmetro,malepop,femalepop,whitepop,blackpop,hisppop,aapipop,aianpop,multipop,otherpop,enroll,nohs,hsplus,bacc,grad,empop,unempop,cnoninst,hcnone,hcpub,hcpvt,earnmed,earnpc,incmed,incpc
2016,Texas,Ellis County,48139,168577,128463,45209,107969,54201,31515,9579,8754,166628,1454,495,168577,82824,85753,104330,15437,43597,1523,278,3312,1900,41560,65005,78326,17514,7732,82325,2872,126583,23336,42997,102244,35000,44932.888461281786,37000,49202.69218962027
2016,Texas,El Paso County,48141,838214,634988,230833,512837,288430,141810,113095,107678,823284,6827,8103,838214,413230,424984,103413,24323,688671,9983,2323,9383,98826,219365,358960,362600,78518,38136,367167,20787,620338,165188,284552,388474,24000,32847.08738155812,25000,34780.973687373546
2016,Texas,Fort Bend County,48157,741233,560475,204962,476068,237854,118193,94651,85454,735027,4909,1297,741233,363162,378071,251973,147889,179203,146123,2335,13048,36230,196871,254135,265313,141063,80722,350484,25297,554305,80289,140365,520579,40200,64010.38236254594,44000,67022.45140706722
2016,Texas,Galveston County,48167,329535,257148,80785,220550,96722,64928,21456,19873,323122,5009,1404,329535,161346,168189,190328,43841,79427,11763,43,3984,8300,75129,111164,150471,43386,24514,154729,11608,250739,46805,94724,188006,37000,53585.64998268098,40000,57020.731289689415
2016,Texas,Harris County,48201,4588804,3479012,1238311,2915987,1456528,669597,768818,698113,4549605,18949,20250,4588804,2277819,2310985,1386257,853431,1945714,314025,7293,71401,388557,1111395,1859957,1785355,614007,329485,2199446,153289,3440129,887270,1328107,2373427,30000,50043.86769715636,32700,52518.7807896921
2016,Texas,Hidalgo County,48215,850203,598427,282684,473875,333472,129332,162446,148587,841657,6961,1585,850203,415987,434216,56624,2736,781105,7991,324,1423,101472,256256,463165,290879,67157,29002,316949,23675,589946,237155,325906,287142,20800,32512.467993819893,22000,34094.182028867304
2016,Texas,Jefferson County,48245,255438,200760,60826,169583,75626,51674,18492,17018,237452,15427,2559,255438,131077,124361,105545,85663,50929,10223,909,2169,5013,53119,90908,130461,23435,10634,107859,5385,182874,54403,79714,121321,30500,43034.145118027925,33300,45969.30247238722
2016,Texas,Johnson County,48251,163312,125644,42494,106307,50365,31341,2940,2232,160363,2376,573,163312,80657,82655,119413,4096,33761,1989,541,3512,2359,35586,58603,84006,16276,4427,74356,3866,122695,25375,46087,91850,35000,41042.5916993144,35000,43541.793217433886
2016,Texas,Lubbock County,48303,302605,237213,72762,177330,111861,52064,12466,11539,290511,3530,8564,302605,148938,153667,163645,20533,105550,6678,1057,4860,16437,90075,102057,139637,39577,21334,144663,4905,225133,41844,92933,167828,25000,38363.483108396424,26700,42444.725674505935
2016,Texas,McLennan County,48309,247763,193431,61339,149773,88338,48407,14703,13935,238360,4259,5144,247763,120977,126786,140000,36006,63925,3651,439,3670,10857,69304,89413,121264,23828,13258,115239,4642,184321,43761,74130,129872,25000,36980.02660954057,26700,39413.01911174018
2016,Texas,Midland County,48329,162161,119524,46479,101296,52122,23977,12812,11343,160664,1045,452,162161,81695,80466,74793,9705,72245,3477,530,1411,4568,38355,66781,69396,18652,7332,80639,3696,118031,29605,33524,99032,40000,55420.667086578105,40000,57878.87620247366
2016,Texas,Potter County,48375,120933,91137,33175,76603,37741,19362,16403,14157,113535,7022,376,120933,62350,58583,54097,11990,45892,5580,82,3292,2860,28314,54420,54438,8340,3735,51134,1677,83739,31543,42356,47034,26000,39165.44318597004,27000,40867.60073072707
