fips,state,st,year,d08,d10,d12,d14,d16,poptotal,malepop,femalepop,popu18,pop25o,pop324,pop60o,whitepop,blackpop,hisppop,asianpop,amindpop,multipop,otherpop,noncit,noncit18o,enroll,nohs,hs,bacc,grad,incmed,incmean,incpc,medage,meanage,maleprop,femaleprop,whiteprop,nonwhprop,blackprop,hispprop,asianprop,amindprop,multiprop,otherprop,lexp,health_index,hsplus,baccplus,hsprop,baccprop,gradprop,attain_score,attain_index,enrollprop,enroll_index,ed_index,inc_index,hdi,presvotes,tovep,tovap,toacs
16,Idaho,ID,2016,0,0,0,0,1,1683140,838762,844378,436911,1086398,530422,360495,1387525,9130,206444,26368,19625,33403,645,59281,56094,403205,102997,686975,201479,94947,26400,38409.732829227294,19630.932352032512,36,37.27247881934955,0.4983316895801894,0.5016683104198106,0.8243669569970412,0.1756330430029588,0.005424385374953955,0.12265408700405195,0.015665957674346757,0.011659754981760282,0.019845645638508977,3.8321232933683473e-4,79.23,5.512500000000001,983401,296426,0.9051940449080356,0.27285212233454037,0.08739614763650154,1.2654423148790774,5.102948765860517,0.7601588923536354,4.575968352961014,4.927288628227349,3.46797368192059,4.549993743317545,690255,0.5920000000000001,0.55,0.5799804223890567
17,Illinois,IL,2008,1,0,0,0,0,12901564,6353690,6547874,3179772,8395661,3977036,2176196,8314807,1852585,1961843,562231,14673,159657,35768,992979,903051,3140814,1185074,4710362,1562287,937938,33045,46903.77398144126,25715.338020325325,36,36.47793097022966,0.4924744007780762,0.5075255992219238,0.6444805451494098,0.3555194548505902,0.143593830949488,0.15206241661863631,0.04357851497694388,0.0011373039733787314,0.012375011277702455,0.0027723770544408415,78.19,5.079166666666666,7210587,2500225,0.8588468495809919,0.2977996610391963,0.1117169928609552,1.2683635034811434,5.122423356540956,0.7897373823118523,5.421068066052924,5.2219715930449455,5.024474374235065,5.10786254277894,5523051,0.636,0.574,0.626285656875511
17,Illinois,IL,2010,0,1,0,0,0,12843166,6298936,6544230,3123757,8468591,3873782,2283557,8169759,1835678,2037316,585722,16566,182133,15992,997844,908656,3097135,1107421,4746467,1634442,980261,33174,46754.23761276063,24263.946958882112,36,37.020728923070834,0.49045040763313347,0.5095495923668666,0.6361172159574984,0.36388278404250163,0.14293033353302448,0.15863035640900383,0.04560573304121429,0.0012898688687820433,0.014181316351435463,0.0012451758390415572,78.97,5.404166666666667,7361170,2614703,0.8692319655064225,0.308753014521542,0.11575254962720481,1.2937375296551692,5.291583531034462,0.7995119498206146,5.700341423446131,5.427836161838352,5.051486483811071,5.291655383914252,3729989,0.424,0.38299999999999995,0.4233450875311111
17,Illinois,IL,2012,0,0,1,0,0,12875255,6308727,6566528,3059501,8560979,3846189,2412157,8092388,1829371,2099195,607263,13085,216340,17613,958668,886075,3046736,1056833,4809409,1681943,1012794,31509,46265.84463044714,24170.04861202366,37,37.480696498826624,0.4899885089654535,0.5100114910345465,0.6285225418836364,0.37147745811636357,0.14208425386526324,0.16304104268226144,0.047165124108221546,0.0010162905511385987,0.016802774003311004,0.0013679729061676837,79.16,5.4833333333333325,7504146,2694737,0.8765523195419589,0.31476972435045103,0.11830352580002824,1.3096255696924382,5.397503797949588,0.792144119802745,5.489831994364144,5.428279863421106,4.694484283617369,5.189174267063128,5242014,0.589,0.5329999999999999,0.5870327477617057
17,Illinois,IL,2014,0,0,0,1,0,12880580,6314962,6565618,2980762,8639907,3784059,2537840,8007982,1817142,2152630,659954,15278,210495,17099,867452,810702,3001121,1006461,4783366,1744608,1105472,32358.4,47113.065789984386,24905.00705582786,37,37.94835442192819,0.4902700033694135,0.5097299966305865,0.6217097366733486,0.3782902633266514,0.14107610061037623,0.16712213269899337,0.051236357369000465,0.0011861267116853433,0.016342043603626545,0.001327502332969478,79.23,5.512500000000001,7633446,2850080,0.8835102044501173,0.3298739210966044,0.12794952538262275,1.3413336509293445,5.60889100619563,0.7930957207591108,5.517020593117453,5.57826753516957,4.878904908108001,5.313615174025432,3627690,0.402,0.366,0.3991246233407077
17,Illinois,IL,2016,0,0,0,0,1,12801539,6284067,6517472,2920404,8672078,3671224,2671810,7889202,1796246,2178129,675196,13499,231820,17447,891077,831374,2919453,980254,4757973,1813665,1120186,34000,49601.42628397563,26541.53813068882,37,38.40283789316269,0.49088371327853625,0.5091162867214637,0.6162698094346313,0.3837301905653687,0.14031484808193764,0.17014587074257242,0.052743345936765884,0.0010544825899448495,0.018108760204534783,0.001362883009613141,79.17,5.487500000000001,7691824,2933851,0.8869643469535214,0.3383100336505276,0.12917157802316814,1.354445958627217,5.696306390848114,0.7952260608451024,5.577887452717212,5.656833411471146,5.221997164710741,5.452489669635769,5536424,0.616,0.561,0.6117757142978693
18,Indiana,IN,2008,1,0,0,0,0,6376792,3136083,3240709,1582720,4178102,1935606,1135339,5301285,544220,322148,88562,13472,97791,9314,163264,144509,1479020,577887,2638413,622518,339284,30070.949999999997,39190.95397310574,21505.723045083407,36,36.9151510665551,0.49179634524695176,0.5082036547530483,0.8313404294824106,0.1686595705175894,0.08534385314747603,0.05051881886691616,0.013888174492754351,0.002112661037085732,0.01533545393984938,0.0014606090335077574,77.17,4.654166666666668,3600215,961802,0.8616867180360843,0.23020069878619526,0.08120529369555841,1.1730927105178381,4.487284736785588,0.7641121178586965,4.688917653105615,4.554495708892263,4.370618937447771,4.5248937989936024,2751054,0.591,0.57,0.5916801213361341
18,Indiana,IN,2010,0,1,0,0,0,6490621,3197594,3293027,1604585,4236616,2008582,1192088,5288698,585582,389713,102206,12778,103652,7992,193389,167249,1544177,554973,2715474,621681,344488,28750.799999999996,38723.428798514324,19910.833494144917,36,37.12294308972901,0.4926483921954463,0.5073516078045537,0.81482157100222,0.18517842899778003,0.0902197185754645,0.06004248283792876,0.015746721307560555,0.0019686868174863393,0.015969504304749884,0.0012313151545899844,77.54,4.808333333333336,3681643,966169,0.8690055931432068,0.22805205852973223,0.08131206604516435,1.1783697177181034,4.522464784787356,0.7687896237245978,4.822560677845653,4.622496749140121,4.059369099566838,4.4851458927659715,1744481,0.371,0.35600000000000004,0.3696884389992598
18,Indiana,IN,2012,0,0,1,0,0,6537334,3220996,3316338,1589634,4283612,2001766,1270799,5289582,589733,408748,109585,11740,116121,11825,196765,177761,1544557,543587,2739972,643095,356958,28358.1,38074.98509762336,19758.922715117187,37,37.52695303620712,0.4927078836724573,0.5072921163275427,0.8091344269697709,0.1908655730302291,0.09021001527534007,0.06252518228378724,0.016762949544875633,0.0017958390989354376,0.017762745486156896,0.0018088413411338627,77.48,4.783333333333335,3740025,1000053,0.8731007850384208,0.2334602200199271,0.08333107667080959,1.1898920817291574,4.599280544861049,0.7715971796903335,4.902776562580958,4.700445884101018,3.9640203915976886,4.466855063468351,2624534,0.552,0.529,0.5502238078935601
18,Indiana,IN,2014,0,0,0,1,0,6596855,3245065,3351790,1582192,4344188,2005761,1336172,5294204,608448,425981,129905,12184,117300,8833,196744,175219,1530777,490924,2777935,684502,390827,29122.56,38408.24543084567,20035.175521991132,37,37.83197144700013,0.4919109181572128,0.5080890818427872,0.8025345410805603,0.19746545891943967,0.09223304135076488,0.06457334593529795,0.019691959274533093,0.00184694070128872,0.01778120028407476,0.0013389713734802417,77.41,4.7541666666666655,3853264,1075329,0.8869929201959031,0.24753279554199772,0.08996548952301328,1.2244912052609143,4.829941368406095,0.7631901308281495,4.6625751665185575,4.774152634443582,4.14844101608832,4.549376437860461,1341814,0.278,0.267,0.2772661487559315
18,Indiana,IN,2016,0,0,0,0,1,6633053,3262640,3370413,1575217,4391185,2000454,1406292,5275941,606099,448163,145213,14128,134723,8786,210241,188459,1526892,517637,2744132,722003,407413,30000,41104.28855795339,21760.647092824376,37,38.14381266062551,0.491876063707014,0.508123936292986,0.7954016046607799,0.20459839533922008,0.09137557019369512,0.0675651166966403,0.021892332233739126,0.002129939260247129,0.020310858363411236,0.001324578591487208,77.08,4.616666666666666,3873548,1129416,0.8821190635329643,0.25720073283179823,0.0927797394097493,1.232099535774512,4.8806635718300795,0.7632727370886808,4.664935345390882,4.808754163017014,4.354241763469901,4.5894207794213955,2734958,0.564,0.54,0.5616648700644867
19,Iowa,IA,2008,1,0,0,0,0,3002557,1480465,1522092,704673,1972195,909765,592815,2702312,82197,124030,48024,5018,37150,3826,70470,60259,698722,192315,1302388,331071,146421,28638.999999999996,37079.63402069965,22061.794606807463,38,38.12657711410641,0.49306807497742755,0.5069319250225724,0.9000035636292667,0.0999964363707333,0.02737566680665846,0.041308125041423026,0.0159943674674619,0.0016712422112219684,0.01237278759404068,0.001274247249927312,79.02,5.424999999999999,1779880,477492,0.9024868230575577,0.24211196154538472,0.07424265856063929,1.2188414431635817,4.792276287757211,0.7680247096777739,4.800705990793542,4.7950861887693215,4.032356989990844,4.716122146494619,1537123,0.6940000000000001,0.669,0.6869439696106363
19,Iowa,IA,2010,0,1,0,0,0,3049883,1505682,1544201,722835,2020095,918568,631265,2700389,93280,151407,49212,6172,46820,2603,86665,74868,720046,191274,1320843,341937,166041,29303.699999999997,37461.393257421456,21356.818821165663,38,38.35556806605368,0.4936851675949536,0.5063148324050464,0.8854074074316949,0.11459259256830512,0.030584779809586137,0.04964354370315189,0.016135700943282087,0.002023684187229477,0.015351408562230093,8.534753628253937e-4,79.6,5.666666666666664,1828821,507978,0.9053143540279046,0.251462431222294,0.08219464926154463,1.2389714345117433,4.926476230078289,0.7838788200764668,5.253680573613338,5.035544344589972,4.1914301335070245,4.926957026082092,1116063,0.499,0.479,0.49554786917564314
19,Iowa,IA,2012,0,0,1,0,0,3074186,1524204,1549982,721858,2038022,919024,658104,2704349,90395,160566,57693,4683,52943,3557,82539,72874,715559,161960,1329421,374462,172179,31403.97,39100.22239636583,22040.48756480278,38,38.48494886125954,0.495807345424122,0.5041926545758779,0.8796959585399192,0.12030404146008078,0.029404531801263813,0.052230411562605515,0.018766919112896876,0.0015233300782711262,0.01722179464742862,0.0011570542576148613,79.65,5.687500000000002,1876062,546641,0.9205307891671435,0.2682213440286709,0.08448338634224753,1.273235519538062,5.154903463587081,0.7786075227632793,5.103072078950838,5.137626335375,4.671335698986308,5.148827406922293,1582180,0.703,0.6709999999999999,0.6941048163288226
19,Iowa,IA,2014,0,0,0,1,0,3107126,1545130,1561996,724668,2063072,927489,682491,2709085,105384,170887,69567,7783,43568,852,97076,83133,719689,161863,1326482,380440,194287,30336.000000000004,39942.16194910905,22548.566062708756,38,38.72854367669673,0.49728591630979885,0.5027140836902012,0.8718941555636945,0.12810584443630546,0.03391687366395827,0.054998413324725166,0.022389500779820323,0.0025048871529509908,0.014021961130639696,2.74208384211004e-4,79.56,5.65,1901209,574727,0.9215427285135953,0.2785782561151525,0.09417364008624032,1.2942946247149882,5.295297498099921,0.7759542161686015,5.0272633191029,5.20595277176758,4.431459685948607,5.0702786159740265,1129700,0.498,0.473,0.4913181042262403
19,Iowa,IA,2016,0,0,0,0,1,3134693,1556308,1578385,723558,2088992,927992,718119,2710375,104992,179066,79292,9290,49709,1969,98058,86075,722181,175715,1308615,405748,198914,32000,41854.651076779184,23753.242438414225,38,38.91666839464024,0.4964786025298171,0.5035213974701829,0.8646381001265515,0.1353618998734485,0.0334935510431165,0.05712393526256,0.025294981039610576,0.002963607600489107,0.01585769324141152,6.281316862608236e-4,79.37,5.570833333333335,1913277,604662,0.9158852690675694,0.2894515632419847,0.09522008700847107,1.300556919318025,5.3370461287868345,0.7782189932671834,5.091971236205239,5.2553544979263025,4.801686985629295,5.19962483306023,1566031,0.684,0.6509999999999999,0.6735443386407233
20,Kansas,KS,2008,1,0,0,0,0,2802134,1389340,1412794,691285,1813652,869707,506310,2244209,152255,268964,58846,17230,57988,2642,109411,98958,666865,193015,1084242,358963,177432,29740.499999999996,40212.200672183164,23437.66057971692,36,36.921355295642535,0.4958149753009671,0.5041850246990329,0.8008928195439619,0.19910718045603815,0.05433537439679901,0.09598541682874552,0.02100042324885248,0.00614888509971329,0.02069422804191377,9.42852840014075e-4,78.11,5.0458333333333325,1620637,536395,0.893576606758077,0.29575409174417144,0.09783133699298432,1.287162035495233,5.247746903301552,0.7667697281958177,4.764849377023363,5.086781061208821,4.294010482215397,4.794533408181827,1235872,0.62,0.588,0.6142837758109162
20,Kansas,KS,2010,0,1,0,0,0,2859169,1413325,1445844,725339,1839277,894299,535037,2232758,159871,301283,70465,22005,72003,784,125410,110370,698832,202506,1083611,356279,196881,29856.6,40352.60945075866,22031.19248460738,36,36.93158291797372,0.49431320778869664,0.5056867922113033,0.7809115165980045,0.2190884834019955,0.05591519773752444,0.10537432379827845,0.024645272804790484,0.007696292174404521,0.025183191339861338,2.7420554713624833e-4,78.58,5.241666666666665,1636771,553160,0.8898991288424745,0.30074860937205217,0.10704260424068805,1.2976903424552146,5.317935616368098,0.7814299244436145,5.1837121269604145,5.273194453232204,4.32102259179139,4.924663654302356,838790,0.41700000000000004,0.392,0.41453253338341256
20,Kansas,KS,2012,0,0,1,0,0,2885905,1437821,1448084,719066,1867004,906052,549163,2236188,164111,315309,71659,25658,72632,348,117387,106972,708332,184985,1118733,359566,203720,29408.4,40207.732742655346,22019.367234211557,36,37.12866016033099,0.4982218749404433,0.5017781250595567,0.7748654234980015,0.22513457650199853,0.05686639026579184,0.10925827426751747,0.024830685694782053,0.008890798553659944,0.025167841630268493,1.2058608997870686e-4,78.58,5.241666666666665,1682019,563286,0.9009187982457456,0.3017058345884637,0.10911599546653354,1.3117406283007427,5.411604188671618,0.7817785292676358,5.193672264789595,5.338960214044278,4.216157074289321,4.904720782096133,1156254,0.569,0.535,0.5613245903740387
20,Kansas,KS,2014,0,0,0,1,0,2904021,1439764,1464257,723985,1881073,904292,590399,2228458,163772,328505,72851,21401,86624,2410,124313,114125,695140,184197,1103630,377590,215656,30336.000000000004,41075.75317180163,22186.404603860927,36,37.37705856810264,0.49578291617037207,0.5042170838296279,0.767369795190875,0.232630204809125,0.0563949089899832,0.11312073845196023,0.025086251098046467,0.007369437066742974,0.029828985396455468,8.298838059366651e-4,78.62,5.258333333333335,1696876,593246,0.9020787603670883,0.31537638358532605,0.114645205156844,1.3321003491092585,5.54733566072839,0.7687118762523609,4.820339321496027,5.305003547650935,4.431459685948607,4.981500729045381,869502,0.425,0.39799999999999996,0.42088066717298084
20,Kansas,KS,2016,0,0,0,0,1,2907289,1448028,1459261,714300,1893041,899652,614500,2217370,169163,337486,78289,18430,84541,2010,128738,119260,685496,179407,1088582,393198,231854,30000,41578.94342377936,22873.627630758416,36,37.69496771734767,0.4980681315135853,0.5019318684864147,0.7626933545306297,0.2373066454693703,0.058185821911753526,0.1160827148591007,0.026928523445725553,0.0063392390642966695,0.029078980452235743,6.913657362580741e-4,78.6,5.249999999999998,1713634,625052,0.9052281487828314,0.3301840794784688,0.1224770092142748,1.357889237475575,5.719261583170501,0.7619568455358294,4.627338443880841,5.355287203407281,4.354241763469901,4.965369090882974,1184402,0.5770000000000001,0.54,0.5711459886995842
21,Kentucky,KY,2008,1,0,0,0,0,4269245,2086782,2182463,1004459,2879690,1219454,790521,3745820,317854,100366,42959,5487,52823,3936,77006,66675,918646,540065,1780821,336645,222159,27537.499999999996,37328.49587779163,19032.239913371803,37,37.6251304387544,0.48879415446993557,0.5112058455300644,0.8773963546247638,0.12260364537523616,0.07445204011482123,0.02350907478957052,0.010062434927018712,0.0012852389591133796,0.012372913711909248,9.219428728030366e-4,75.86,4.108333333333333,2339625,558804,0.8124572436616442,0.19405005399886793,0.07714684566741559,1.0836541433279276,3.8910276221861846,0.7533256687009104,4.3807333914545845,4.054262878608984,3.760439995290696,3.9713553351202773,1826508,0.579,0.557,0.5711208898002602
21,Kentucky,KY,2010,0,1,0,0,0,4346266,2139186,2207080,1017772,2907115,1279761,832313,3756400,337303,130485,51540,8370,60288,1880,93776,81002,954421,512185,1792710,365442,236778,27644.999999999996,37520.92813366921,18205.20776074285,38,37.80356517525618,0.49218938739598544,0.5078106126040146,0.8642821217109123,0.13571787828908766,0.07760753713647531,0.030022322609798847,0.011858455050841344,0.0019257910123310447,0.013871217270180886,4.3255520946025854e-4,75.86,4.108333333333333,2394930,602220,0.8238167392758801,0.20715382776395155,0.08144775834461312,1.1124183253844449,4.082788835896299,0.7457806574821393,4.165161642346837,4.110246438046478,3.787452104866702,3.9990812527050115,1356468,0.424,0.40700000000000003,0.4176971028720009
21,Kentucky,KY,2012,0,0,1,0,0,4380415,2154829,2225586,1015554,2939633,1284005,876659,3759752,348596,133726,57613,6988,68599,5141,87777,73979,969326,484263,1821928,380082,253360,27307.8,37401.75633196972,18270.8845450542,38,38.1171818195308,0.49192348213582504,0.508076517864175,0.8583095437304457,0.14169045626955434,0.07958058768404364,0.03052815772021601,0.013152406792507102,0.0015952826387454157,0.015660388342200453,0.0011736330918417548,75.77,4.070833333333332,2455370,633442,0.8352641299100942,0.21548336135837365,0.08618762954423222,1.1369351208127003,4.246234138751335,0.7549238515426342,4.426395758360978,4.30628801195455,3.7023668993731484,4.018728033908174,1797212,0.557,0.534,0.5461186393191856
21,Kentucky,KY,2014,0,0,0,1,0,4413457,2179836,2233621,1014030,2968524,1285929,925230,3769494,342252,144671,56561,6276,89510,4693,103535,89451,963370,461143,1832218,394741,280422,26695.680000000004,36963.38583074419,18143.970831371058,38,38.46229882833344,0.4939067039737784,0.5060932960262217,0.8540910220718135,0.14590897792818647,0.07754737386135177,0.03277951954669548,0.012815577448698379,0.0014220145341848804,0.020281153753169003,0.0010633387840869415,75.83,4.095833333333332,2507381,675163,0.8446557952706463,0.2274406405338141,0.09446512812427994,1.1665615639287403,4.443743759524936,0.7491626676122866,4.261790503208188,4.38309267408602,3.5451916043992955,3.9925853956992605,1435868,0.442,0.42200000000000004,0.433800124230508
21,Kentucky,KY,2016,0,0,0,0,1,4436974,2179554,2257420,1011308,2994835,1283691,968926,3765605,365013,151891,63369,9598,75941,5557,89849,79086,969753,435377,1858953,418081,282424,30000,39839.3442532488,19718.977955471455,38,38.71697895908338,0.4912253260893573,0.5087746739106427,0.848687641622421,0.15131235837757895,0.08226620214587689,0.03423301556421111,0.014282030951725207,0.0021631859911732635,0.01711549357737954,0.001252430147212943,75.19,3.8291666666666657,2559458,700505,0.8546240443964359,0.23390437202717346,0.0943036928578703,1.1828321092814795,4.55221406187653,0.7554411458832383,4.441175596663952,4.515201240139003,4.354241763469901,4.222451209674642,1924149,0.586,0.561,0.5749598097161879
22,Louisiana,LA,2008,1,0,0,0,0,4410796,2139611,2271185,1099732,2841324,1386710,773192,2728539,1391721,152781,64429,21581,44231,7514,71584,64568,1047221,539199,1725047,396757,180321,27757.8,39946.62453918041,20493.624466079025,36,36.47805634175782,0.4850850050648454,0.5149149949351546,0.6186046690892075,0.3813953309107925,0.3155260411045988,0.03463796557356087,0.014607113999377891,0.0048927676546364875,0.010027895191706894,0.0017035473869115689,75,3.75,2302125,577078,0.8102296675775097,0.20310179338927908,0.06346372325014676,1.0767951842169354,3.845301228112903,0.7551838524276886,4.433824355076818,4.041475603767541,3.8156832728873487,3.8670624219067147,1960761,0.612,0.5870000000000001,0.6039622411362897
22,Louisiana,LA,2010,0,1,0,0,0,4544228,2226234,2317994,1117791,2944895,1406279,800621,2740995,1449099,193686,70690,26089,57886,5783,104305,95791,1054312,522798,1790935,420711,210451,28750.799999999996,40593.63281293834,20325.43545831217,35,36.58374469766921,0.489903675607826,0.510096324392174,0.6031816625398198,0.39681833746018025,0.3188878286916942,0.04262242123414582,0.015555997630400588,0.005741129186299631,0.012738357318338781,0.0012726033993012674,75.76,4.066666666666669,2422097,631162,0.8224731272252491,0.214324110027692,0.07146298934257418,1.1082602265955153,4.055068177303435,0.7497175169365397,4.277643341043991,4.129259898550287,4.059369099566838,4.084978533481456,1264994,0.389,0.368,0.3798043983059142
22,Louisiana,LA,2012,0,0,1,0,0,4601893,2247571,2354322,1117864,3008114,1413627,857782,2750937,1474608,207131,74427,20901,63857,10032,97765,91612,1076455,505902,1834555,439444,228213,28988.28,40335.93011084284,19811.40654974551,36,36.992239280661245,0.4884014035093819,0.5115985964906181,0.5977837815872729,0.40221621841272714,0.32043509051601154,0.045009955685627635,0.01617312701533912,0.0045418265917960285,0.013876246144793023,0.0021799724591597416,75.82,4.091666666666664,2502212,667657,0.8318208684910213,0.22195202708407993,0.0758658082772129,1.1296387038523141,4.197591359015427,0.7614844651382578,4.613841861093083,4.336341526374645,4.116400034425885,4.180039954147884,1994065,0.602,0.57,0.587800674268523
22,Louisiana,LA,2014,0,0,0,1,0,4649676,2270979,2378697,1114692,3063016,1410208,899366,2754108,1496424,222183,79746,23093,65266,8856,109327,100864,1058147,502671,1860270,460593,239482,29324.800000000003,41236.80458228334,20015.24646719092,36,37.23429524981956,0.4884166122542732,0.5115833877457268,0.5923225618301147,0.40767743816988533,0.32183403746841716,0.047784619831575365,0.01715087244788669,0.0049665826177996055,0.014036676964158362,0.00190464884004821,75.76,4.066666666666669,2560345,700075,0.8358901814420819,0.2285574087761866,0.07818503070176584,1.1426326209200344,4.284217472800229,0.750348175588282,4.295662159665202,4.288032368421886,4.196420409347602,4.182717568407668,1472039,0.439,0.415,0.4286510081185282
22,Louisiana,LA,2016,0,0,0,0,1,4681666,2291460,2390206,1117130,3117540,1377545,960040,2755796,1510134,230625,77897,24697,76752,5765,109626,96064,1060134,491770,1900523,468116,257131,30000,42393.33316354533,20405.85362625185,36,37.659472504018865,0.4894539678823735,0.5105460321176265,0.588635754878712,0.411364245121288,0.32256337807951274,0.04926130996957066,0.016638735014415807,0.00527525885016146,0.016394163957873117,0.0012313992497542542,75.94,4.141666666666666,2625770,725247,0.8422570359963304,0.23263438480340268,0.08247881342340435,1.1573702342231376,4.38246822815425,0.7695821189144456,4.84520339755559,4.536713284621364,4.354241763469901,4.341198773358501,2029032,0.6,0.568,0.5849930459291585
23,Maine,ME,2008,1,0,0,0,0,1316456,640631,675825,275720,928427,343466,277993,1254265,10467,12700,10410,6730,21731,153,18354,15018,261415,93726,608533,145029,81139,27537.499999999996,35691.5540874645,20229.17648899887,41,40.136869747260825,0.4866330511616036,0.5133669488383964,0.9527587705172068,0.04724122948279319,0.00795089239594791,0.009647113158358502,0.007907594329016693,0.005112210358720687,0.016507198113723514,1.1622112702589376e-4,78.91,5.379166666666665,834701,226168,0.8990486058677742,0.2436034281639806,0.08739405467527334,1.2300460887070281,4.866973924713521,0.7611088142640028,4.603108978971509,4.7790189427995164,3.760439995290696,4.589486941972278,731163,0.706,0.696,0.712830427076448
23,Maine,ME,2010,0,1,0,0,0,1327567,647657,679910,274005,937449,348687,305811,1254151,15133,15946,15763,7177,19305,92,20004,16342,272436,91079,594800,163550,88020,28750.799999999996,37799.36439803531,20830.49772572111,42,40.672701264794924,0.48785259049072477,0.5121474095092753,0.9446988362922549,0.05530116370774507,0.011399048032980632,0.012011446503264996,0.011873600353127187,0.005406130161415582,0.014541638953062257,6.929970389441738e-5,79.1,5.45833333333333,846370,251570,0.9028437813683731,0.26835593189602847,0.0938931077850635,1.265092821049465,5.100618806996433,0.7813196362353629,5.180561035296085,5.12726621642965,4.059369099566838,4.843226957649364,572766,0.552,0.5429999999999999,0.5522126453404292
23,Maine,ME,2012,0,0,1,0,0,1329192,652461,676731,267063,944440,348570,315403,1251077,11174,20034,13026,8583,24837,461,21325,17916,273087,74306,605410,175277,89447,27727.920000000002,36512.56315961978,19927.783185900684,43,41.188495717699176,0.49087039344203093,0.509129606557969,0.9412312141511535,0.05876878584884648,0.008406610933559636,0.015072314609176102,0.00979993860932055,0.006457306393658704,0.01868578805770724,3.4682724542428784e-4,79.23,5.512500000000001,870134,264724,0.921322688577358,0.28029731904620725,0.09470903392486553,1.2963290415484308,5.308860276989539,0.7834495223341079,5.241414923831655,5.2863784926035775,3.8082162020680577,4.80554687380774,713180,0.682,0.67,0.6829832610779601
23,Maine,ME,2014,0,0,0,1,0,1330089,643863,686226,259566,957098,334837,340141,1245062,17353,16637,13920,6179,29662,1276,24150,20545,258518,74969,597998,186249,97882,28313.600000000002,38402.87134715286,21066.460940008677,44,41.839221285192195,0.4840751257998525,0.5159248742001475,0.9360742025533629,0.06392579744663707,0.013046495384895296,0.012508185542471219,0.01046546509293739,0.004645553793768687,0.02230076333237851,9.593343001859274e-4,79.15,5.47916666666667,882129,284131,0.9216705081402322,0.2968671964626402,0.1022695690514451,1.3208072736543175,5.472048491028784,0.7720711868760024,4.916319625028641,5.286805535695403,3.953132476620559,4.856049129473691,611255,0.581,0.57,0.5821598166818733
23,Maine,ME,2016,0,0,0,0,1,1331479,649456,682023,256779,964124,331373,352897,1243580,21097,20044,16412,7170,22058,1118,22729,18203,258945,72334,596422,185007,110361,30000,39500.24349372345,21883.79700768844,44,42.11919226664484,0.487770366637401,0.5122296333625991,0.9339839381619988,0.06601606183800124,0.015844786136319084,0.015053936261856176,0.012326142582797024,0.005384989173693314,0.016566539915387327,8.396677679482741e-4,78.65,5.270833333333336,891790,295368,0.9249743808887654,0.3063589330832963,0.11446764109180976,1.3458009550638714,5.638673033759143,0.7814305933193109,5.183731237694596,5.487025768404294,4.354241763469901,5.01236790945486,747927,0.7070000000000001,0.6940000000000001,0.7079310211008645
24,Maryland,MD,2008,1,0,0,0,0,5633597,2728040,2905557,1334850,3743656,1669990,966968,3233157,1612782,372650,281921,12386,104982,15719,386125,344927,1282310,449823,1967872,746443,579518,40755.5,53882.37968792476,31177.32029942956,37,37.133563689415475,0.48424479067281523,0.5157552093271848,0.5739063337331372,0.42609366626686285,0.28627926349719374,0.06614779154419459,0.050042805688798826,0.0021985953201835344,0.018634985782618102,0.0027902244338741306,78.17,5.070833333333335,3293833,1325961,0.8798439279677406,0.35418879298738987,0.15480001367647028,1.3888327346316007,5.9255515642106715,0.7678548973347146,4.795854209563275,5.548985779328206,6.478465694808263,5.6700693480356295,2631596,0.67,0.606,0.6655831575539605
24,Maryland,MD,2010,0,1,0,0,0,5785982,2802225,2983757,1350668,3871981,1705826,1031755,3159304,1685092,474088,320849,10392,125710,10547,443747,395128,1336085,468390,2009541,762009,632041,42020.399999999994,55418.0208804708,30761.48260270059,37,37.476140091690574,0.484312775255782,0.515687224744218,0.5460272776513996,0.4539727223486004,0.29123699313271284,0.08193734443003797,0.05545281682521653,0.001796065041336112,0.02172664899406877,0.0018228539252282498,78.99,5.412499999999998,3403591,1394050,0.8790309146661618,0.36003534108251045,0.16323453033473045,1.4023007860834027,6.015338573889352,0.7832481155756801,5.235660445019432,5.755445864266044,6.690368618892446,5.9289207202632115,1857880,0.46399999999999997,0.418,0.45985011581149976
24,Maryland,MD,2012,0,0,1,0,0,5884563,2847314,3037249,1342323,3975401,1698881,1104710,3165351,1695516,510448,338548,13448,150770,10482,445602,404899,1315171,429797,2076632,801560,667412,40961.7,54489.154449513095,30413.79063429752,38,37.87118142842552,0.48386158836263626,0.5161384116373637,0.5379075727458437,0.46209242725415633,0.2881294668779993,0.08674356957347555,0.057531544823294443,0.002285301389414983,0.025621273831208876,0.0017812707587632252,79.33,5.554166666666665,3545604,1468972,0.8918858751607699,0.3695154275002698,0.1678854535680803,1.4292867562291198,6.195245041527465,0.7741395659849042,4.9754161709972635,5.788635418017398,6.513454327122162,5.9383914985534565,2707327,0.6659999999999999,0.595,0.6543639985198223
