year,state,statefip,poptotal,pop16o,popu18,pop25o,pop324,pop60o,popnc,popnc18o,pophh,popinst,popogq,popmetro,malepop,femalepop,whitepop,blackpop,hisppop,aapipop,aianpop,multipop,otherpop,enroll,nohs,hsplus,bacc,grad,empop,unempop,cnoninst,hcnone,hcpub,hcpvt,earnmed,earnpc,incmed,incpc
2008,Pennsylvania,42,12448279,10040985,2753476,8486108,3524046,2577890,341739,303032,11978310,226358,243611,10411507,6056228,6392051,10127020,1253790,588950,300739,13371,143633,234579,2761295,3967669,6126714,1501284,852612,6054105,376124,9575034,1164358,3723318,7560603,33151.14,43648.021363001266,27905.000000000004,40648.690389247575
2012,Pennsylvania,42,12763536,10371394,2732366,8760975,3587517,2829554,370710,329468,12335561,197836,230139,10533504,6236352,6527184,10042967,1342894,776832,365596,13567,210985,224744,2775943,3847197,6298134,1649692,968513,5942339,585366,9946362,1279466,4131878,7352192,31349.999999999996,43142.28578252089,26334,39618.89611718805
2016,Pennsylvania,42,12784227,10436567,2664966,8929577,3439881,3084314,398878,353126,12356803,198879,228545,10600399,6259953,6524274,9829121,1355439,898332,423100,17642,242498,260854,2651510,3699816,6180211,1819507,1084693,6105096,373934,10012780,798482,4693272,7292473,32000,45693.306233053554,28500,42258.919689289505
2008,Rhode Island,44,1050788,857175,224135,709463,305489,202157,66361,60170,1012433,13801,24554,794347,506850,543938,824784,49388,120662,30435,3298,15646,62100,244417,354256,467442,147739,81351,532173,42380,819664,106411,298199,646178,33486,45007.871857905695,30137.4,42941.54985309282
2012,Rhode Island,44,1050292,859728,217152,710850,305764,222129,70847,63338,1008882,12522,28888,1050292,506587,543705,792348,50826,138867,32883,2974,22442,60714,238647,330466,482424,142669,94733,513972,55227,818447,121366,328199,600727,31349.999999999996,43590.14783414764,27692.499999999996,41114.956469711586
2016,Rhode Island,44,1056426,874204,208694,732652,291999,241748,67058,60272,1013674,12530,30222,1056426,510780,545646,768390,59982,157949,37576,2773,23990,58515,230220,303558,484901,166565,101402,525029,30104,831479,44751,394968,616707,35000,46683.056401822774,30000,43713.13502428959
2008,South Carolina,45,4479800,3543701,1063703,2961620,1343309,848554,127651,113353,4333829,66561,79410,2764520,2179254,2300546,2908458,1261485,177999,48931,9796,64977,62993,1017157,1633112,2107075,483799,255814,2067434,169125,3398120,736255,1315751,2427794,28574.72,38851.55292068557,25672.600000000002,37142.352421500604
2012,South Carolina,45,4723723,3762423,1080796,3154584,1403360,984380,140312,128922,4584721,63810,75192,3600801,2296288,2427435,3015315,1295284,247336,60933,13917,85771,82550,1041343,1631716,2257989,547313,286705,2053645,248724,3624833,795728,1597462,2330533,27169.999999999996,37052.77520290982,24024.55,35153.79409675847
2016,South Carolina,45,4961119,3985269,1099814,3387899,1398769,1153650,147467,133364,4824537,61147,75435,3833524,2406185,2554934,3161257,1332396,273209,78307,12434,91290,80537,1066285,1609581,2376016,646483,329039,2268666,150894,3849843,505851,1849454,2605814,29000,39684.62410675706,25000,37986.26783086795
2008,South Dakota,46,804194,627018,201529,521168,250802,156039,7525,6640,772914,15913,15367,148567,401583,402611,689380,7259,22420,5157,63220,16489,3438,189043,263528,412593,91066,37007,426283,15521,596977,89079,236175,478940,27905.000000000004,36197.13055699791,27235.280000000002,36488.00115470122
2012,South Dakota,46,833354,651227,204137,542020,257330,167803,12904,10622,799339,14765,19250,161186,416849,416505,698213,15904,23402,8090,73835,12557,8085,196126,267391,415789,104969,45205,428862,21560,618038,91018,248240,494096,27274.499999999996,35991.72809180667,26229.5,35878.375895334175
2016,South Dakota,46,865454,671406,213902,565146,263283,192768,20303,17475,831444,14715,19295,172913,435923,429531,713617,13026,32249,12876,75978,17642,4518,202665,273727,417296,121640,52791,441179,18490,637959,74583,264560,526311,30000,40895.0004301974,30000,39968.96023643461
2008,Tennessee,47,6214888,4915332,1468474,4185397,1780220,1160450,170025,148817,6062405,85762,66721,3941649,3026662,3188226,4780679,1011553,234868,81992,14388,85058,60850,1356956,2265574,2952835,664001,332478,2943687,216191,4764029,828160,1897992,3488736,27905.000000000004,39785.91347059418,25002.88,37453.05332775554
2012,Tennessee,47,6456243,5132237,1492012,4337792,1892202,1303613,181314,160128,6302883,84269,69091,3980454,3145360,3310883,4842904,1085556,306710,97196,13146,105491,83215,1432480,2207422,3127314,736683,384824,2836658,295769,4980657,918402,2181078,3356763,27169.999999999996,38259.27991944459,23512.5,35294.90268191952
2016,Tennessee,47,6651194,5317905,1502677,4529601,1882535,1462483,209342,185324,6498215,83874,69105,4138847,3243960,3407234,4933056,1106549,346102,121271,14943,122492,74347,1405219,2161004,3241532,812621,436037,3049923,181691,5166455,623927,2479494,3547773,30000,41246.52121450822,25000,38303.94092091991
