GEOID,year,d14,d16,state,st,poptotal,noncit,popu18,popu25,pop3o,pop324,vapacs,medage,incmed,incpc,gini,hs,ged,some1,some2,assoc,bacc,mast,prof,phd,enroll,pop_check,nothilat,white,black,amind,asian,hawpi,other,multi,hilat,white_prop,black_prop,amind_prop,asian_prop,hawpi_prop,other_prop,multi_prop,hilat_prop,nonwh_prop
44,2016,0,1,Rhode Island,RI,1056426,59841,208640,322381,1025170,291125,787945,40.2,35343,33008,0.4781,167783,36262,42281,93088,60183,151195,70435,17015,11620,264768,1056426,899074,768815,58523,2913,36176,1237,6210,25200,157352,0.7277509262361964,0.05539715985786037,0.0027574103628649808,0.03424376151287454,0.0011709291516869141,0.005878310454305365,0.023854013437760904,0.14894748898645055,0.2722490737638036
45,2012,0,0,South Carolina,SC,4723723,128263,1080976,1572107,4557631,1406015,3514484,38.3,26566,23396,0.4684,796955,140843,192138,471966,281401,504036,212122,43582,31282,1201763,4723723,4473961,3016843,1295205,14189,59145,1738,5952,80889,249762,0.6386578975947573,0.27419156457734717,0.003003774776802111,0.012520844257802585,3.679301263008013e-4,0.001260023079253377,0.017123993087655647,0.052873972500080975,0.36134210240524267
45,2014,1,0,South Carolina,SC,4832482,129819,1083684,1571553,4668976,1408047,3618979,38.8,26752,24596,0.4687,839898,149325,187997,486246,288524,543917,232819,46936,33301,1207095,4832482,4575078,3082187,1311369,13607,68331,2916,5476,91192,257404,0.6378062039341275,0.2713655218995125,0.0028157373374593014,0.01413993885543702,6.034166293842377e-4,0.0011331651105994807,0.018870634179289233,0.053265382054190784,0.36219379606587254
45,2016,0,1,South Carolina,SC,4961119,129824,1099964,1572643,4787590,1399114,3731331,39.1,29640,27016,0.4735,834907,146762,206995,506103,317549,591086,242201,53013,36206,1209286,4961119,4688328,3161469,1328097,13805,75511,2179,12827,94440,272791,0.6372491770505807,0.26770109727261127,0.0027826383523555875,0.015220558103927763,4.3921542700346434e-4,0.002585505407147057,0.019036027960627432,0.05498578042574669,0.3627508229494193
46,2012,0,0,South Dakota,SD,833354,11903,204222,289062,799281,254989,617229,36.7,27212,25275,0.4335,153301,24705,31915,85933,53971,98719,29714,7488,7030,217047,833354,808585,698504,12629,70943,9516,460,1192,15341,24769,0.8381840130364767,0.015154424170280578,0.08512948878867804,0.011418916810863091,5.519863107394937e-4,0.0014303645269597314,0.018408743463162115,0.029722062892840257,0.16181598696352328
46,2014,1,0,South Dakota,SD,853175,10591,210893,297687,817645,262157,631691,36.6,29003,26959,0.4468,146637,23485,33854,88120,62802,111108,30003,7382,5723,223281,853175,824456,709585,14260,67725,11001,384,495,21006,28719,0.8316992410701204,0.016714038737656402,0.07937996307908694,0.012894189351539836,4.500835115890644e-4,5.801857766577783e-4,0.024620974594895536,0.03366132387845401,0.1683007589298796
46,2016,0,1,South Dakota,SD,865454,16180,213901,299560,828912,263018,635373,36.8,31032,28585,0.4495,139760,24150,36532,87087,65093,111002,35829,9174,7256,218239,865454,833227,713315,14332,73570,12901,151,280,18678,32227,0.8242090278628327,0.016560094470647775,0.08500740651727301,0.014906627041991834,1.7447489987913858e-4,3.235296156699258e-4,0.02158173629101027,0.03723710330069536,0.17579097213716732
47,2012,0,0,Tennessee,TN,6456243,164307,1494217,2119770,6226632,1890159,4797719,38.2,26884,23692,0.4732,1166971,266671,280224,641682,283901,680286,257964,69299,45255,1605001,6456243,6148485,4840886,1084643,12460,95459,2149,6115,106773,307758,0.7497992253389472,0.16799909792738593,0.0019299149675747955,0.014785533939785104,3.3285612081205743e-4,9.471452669919642e-4,0.01653794629477236,0.04766828014373065,0.25020077466105284
47,2014,1,0,Tennessee,TN,6549352,183783,1492337,2124279,6312125,1887052,4873232,38.6,26976,24922,0.4811,1195880,277667,270428,637701,296099,717801,280082,67725,52699,1589191,6549352,6227013,4881929,1098287,14900,101866,3036,6263,120732,322339,0.7454064157797596,0.1676939947646729,0.0022750342323942887,0.01555359980651521,4.6355731070799066e-4,9.562778119117739e-4,0.01843419013056559,0.04921693016347266,0.25459358422024037
47,2016,0,1,Tennessee,TN,6651194,179265,1503252,2123996,6412680,1885482,4968677,38.6,30164,27087,0.479,1199477,266460,291978,667520,328595,756055,303704,73385,49711,1578309,6651194,6303752,4929450,1105799,15049,115106,4732,8919,124697,347442,0.7411376062703929,0.16625571288403254,0.002262601271290538,0.01730606564776189,7.114512071065736e-4,0.0013409622392611012,0.018748062377973038,0.052237538102181354,0.25886239372960707
